"상품군별","판매매체별",2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04 p),2020. 05 p)
"합계","계",10722987,9607307,11259178,10671636,11253413,10604209,11197264,11278634,11261479,11871192,12852096,12684652,12304762,11963252,12624728,12055233,12722071
"합계","인터넷쇼핑",3910043,3397801,4154481,3945263,4067849,3709250,3951331,3983518,3977628,4109426,4434397,4349481,4081181,3850850,4138678,4024042,4027710
"합계","모바일쇼핑",6812944,6209506,7104697,6726373,7185564,6894959,7245933,7295116,7283852,7761766,8417698,8335170,8223581,8112402,8486051,8031191,8694362
"화장품","계",898316,861069,1023636,961714,989219,943868,984890,1037824,1101042,1155470,1234621,1190553,1127048,1049681,981864,960851,935992
"화장품","인터넷쇼핑",326699,300156,414794,382837,396137,374640,396202,432088,482897,501064,556145,491525,473776,429543,532733,594911,525803
"화장품","모바일쇼핑",571617,560913,608843,578876,593083,569228,588687,605736,618145,654405,678476,699028,653273,620138,449132,365941,410190
