"업태별",2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04 p),2020. 05 p)
"업태별",경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수
"가전·컴퓨터·통신기기 소매점",88.4,80.4,103.9,94.4,101.0,95.9,94.3,103.8,83.9,91.5,94.7,87.3,83.8,83.9,84.4,85.2,95.6
"의복·신발·가방 소매점",97.7,91.8,111.4,103.5,114.0,98.1,85.1,78.8,94.0,108.5,118.7,107.6,87.6,62.8,59.3,75.7,102.0
"음식·가정· 문화상품 소매점",92.0,85.3,91.8,92.8,88.4,86.3,85.7,83.2,94.7,89.5,85.7,94.5,98.9,85.7,79.3,84.2,94.4
"의약품·화장품·기타상품 소매점",102.8,95.6,106.6,106.0,110.3,103.6,102.6,102.9,103.3,106.3,107.3,110.8,106.9,94.8,90.2,94.3,100.5
"인터넷 쇼핑",206.5,180.5,215.6,206.1,219.2,199.8,209.1,204.9,208.7,221.3,246.3,236.8,223.5,244.7,277.0,260.9,277.1
"홈쇼핑",142.2,116.1,137.0,133.5,137.1,125.8,127.2,123.1,127.6,143.0,142.0,141.8,136.2,134.4,151.2,137.8,144.7
"방문 및 배달 소매점",92.7,74.9,85.3,90.3,91.4,81.8,85.7,82.7,83.3,85.0,79.3,80.8,87.2,74.2,78.6,80.1,79.2
